customer_id,first_name,last_name,signup_date,email
1,John,Smith,2023-01-01,john.smith@example.com
2,Doe,Johnson,2023-02-01,doe.johnson@example.com
3,Jane,Doe,2023-03-01,jane.doe@example.com
4,Emily,Davis,2023-04-01,emily.davis@example.com
5,Michael,Jones,2023-05-01,michael.jones@example.com
6,Sarah,Brown,2023-06-01,sarah.brown@example.com
7,Will,Wilson,2023-07-01,will.wilson@example.com
8,Jessica,Martinez,2023-08-01,jessica.martinez@example.com
9,Aaron,Miller,2023-09-01,aaron.miller@example.com
10,Elizabeth,Taylor,2023-10-01,elizabeth.taylor@example.com
